Age,Gender,Income,Education_Level,Travel_Frequency,Preferred_Activities,Vacation_Budget,Location,Proximity_to_Mountains,Proximity_to_Beaches,Favorite_Season,Pets,Environmental_Concerns,Preference
19,male,105549,high school,2,hiking,772,suburban,38,242,spring,0,0,1
21,female,73816,high school,3,sunbathing,3638,urban,12,117,spring,1,1,0
38,male,59645,bachelor,7,sunbathing,1100,suburban,193,241,fall,1,0,0
56,male,72937,doctorate,2,swimming,970,rural,46,77,winter,0,0,0
51,female,101739,doctorate,5,hiking,2956,suburban,4,73,winter,1,1,1
47,female,37388,high school,6,swimming,958,suburban,236,93,summer,0,1,0
23,non-binary,53231,doctorate,1,hiking,4666,rural,218,193,summer,1,0,0
34,non-binary,42996,doctorate,4,swimming,3171,rural,125,112,fall,0,0,0
56,male,29740,master,3,sunbathing,3083,rural,262,181,fall,0,1,0
42,female,95246,high school,3,sunbathing,4492,rural,3,221,winter,1,0,0
22,female,66019,master,0,hiking,2805,rural,289,294,summer,0,0,1
22,non-binary,60740,high school,4,skiing,1881,rural,154,260,spring,1,0,1
37,female,21629,doctorate,6,swimming,2371,suburban,28,90,spring,1,1,0
33,male,96761,master,7,skiing,1044,urban,292,260,spring,1,0,0
68,male,111277,master,7,hiking,2408,rural,271,163,winter,1,0,0
58,male,98116,high school,6,hiking,4688,rural,280,252,fall,1,0,0
54,non-binary,75034,doctorate,8,skiing,1457,suburban,114,250,spring,1,0,1
57,male,107512,master,3,sunbathing,1175,suburban,26,134,fall,0,1,0
26,non-binary,76934,bachelor,3,hiking,1310,urban,232,137,spring,1,1,0
22,non-binary,61306,bachelor,6,hiking,1737,urban,54,49,fall,0,0,0
59,male,41773,bachelor,1,swimming,4974,suburban,56,271,fall,1,1,0
19,non-binary,118753,doctorate,8,hiking,3889,urban,241,111,winter,1,0,0
26,non-binary,61665,bachelor,4,skiing,3606,urban,41,221,spring,0,0,1
60,male,63905,bachelor,4,swimming,3333,rural,56,235,summer,0,1,0
53,male,72193,master,5,skiing,3786,rural,160,220,summer,0,0,1
39,non-binary,105247,master,3,sunbathing,3051,rural,46,153,fall,1,0,0
39,non-binary,115924,master,0,swimming,4180,urban,66,175,fall,1,0,0
39,female,109688,high school,4,hiking,4456,suburban,97,238,fall,1,1,1
51,male,78874,doctorate,6,sunbathing,1383,rural,85,207,fall,1,0,0
46,female,112332,bachelor,3,hiking,4904,suburban,275,278,spring,1,0,1
55,non-binary,107844,master,2,sunbathing,2883,rural,99,183,summer,1,1,0
63,female,76025,doctorate,7,swimming,3563,rural,277,92,fall,1,0,0
50,non-binary,88787,high school,8,sunbathing,3722,suburban,146,271,winter,1,0,0
35,female,109070,high school,1,swimming,3078,rural,290,36,winter,0,1,0
24,non-binary,39285,doctorate,1,sunbathing,4557,urban,111,72,summer,0,1,0
18,non-binary,49310,doctorate,5,swimming,3122,rural,237,177,spring,1,1,0
50,non-binary,35731,bachelor,5,sunbathing,4862,suburban,51,296,spring,0,0,0
18,male,82461,master,4,sunbathing,2476,suburban,235,256,fall,0,1,0
41,non-binary,43609,bachelor,0,sunbathing,1564,urban,223,7,summer,0,0,0
21,male,106662,high school,9,swimming,675,suburban,39,11,summer,0,1,0
21,non-binary,45740,high school,5,sunbathing,3422,rural,76,99,spring,1,0,0
35,female,108111,doctorate,1,swimming,1126,rural,108,126,spring,1,1,0
44,non-binary,114066,master,4,hiking,3084,urban,207,187,fall,1,0,0
60,non-binary,30907,high school,8,swimming,3271,rural,257,156,summer,0,0,0
49,female,40151,master,9,sunbathing,1700,rural,65,214,summer,1,0,0
50,non-binary,89083,master,1,sunbathing,4302,suburban,284,228,spring,0,1,0
45,non-binary,42743,bachelor,4,sunbathing,1160,rural,96,80,spring,1,0,0
59,non-binary,67778,master,1,skiing,2815,urban,256,264,fall,1,1,1
58,female,107164,high school,5,sunbathing,2075,rural,133,190,summer,0,1,0
53,non-binary,84822,bachelor,8,hiking,1803,suburban,97,34,winter,0,1,0
23,male,40990,high school,1,swimming,1655,urban,39,281,summer,1,0,0
33,male,108996,doctorate,5,sunbathing,1485,rural,234,36,fall,1,0,0
51,male,90792,bachelor,9,sunbathing,985,urban,12,94,summer,0,0,0
40,male,41361,master,6,skiing,3782,rural,223,220,spring,0,1,0
67,female,48546,doctorate,1,hiking,2497,rural,129,268,winter,1,0,1
59,non-binary,109203,high school,3,skiing,1858,urban,43,167,summer,0,1,1
41,male,90785,master,1,hiking,501,urban,67,111,spring,0,1,1
66,non-binary,42969,high school,3,swimming,2660,urban,292,203,spring,1,0,0
30,non-binary,110389,bachelor,8,swimming,2892,urban,4,155,spring,0,0,0
35,female,106525,doctorate,8,hiking,2457,rural,152,264,fall,0,0,1
30,non-binary,72436,doctorate,2,hiking,4292,suburban,54,221,summer,1,0,1
66,male,40964,high school,7,swimming,4295,suburban,219,75,summer,1,1,0
54,male,92416,high school,0,skiing,1028,urban,142,294,summer,0,1,1
60,female,20912,high school,5,skiing,3252,suburban,178,291,summer,1,1,1
56,male,64729,bachelor,8,skiing,2131,rural,144,118,summer,0,0,0
59,male,100057,bachelor,3,skiing,4088,urban,230,10,winter,1,0,0
34,female,60340,bachelor,7,skiing,2563,suburban,264,264,spring,0,1,0
32,female,74334,bachelor,0,skiing,3743,rural,56,104,fall,0,0,1
35,male,61150,master,1,swimming,3295,rural,156,22,summer,1,0,0
40,female,89031,bachelor,7,sunbathing,4218,rural,153,200,spring,0,0,0
68,female,76001,bachelor,8,skiing,1585,rural,162,204,fall,0,1,1
47,male,89860,master,4,skiing,3491,rural,80,8,winter,1,0,0
51,male,61307,doctorate,5,skiing,3328,rural,175,256,winter,0,1,1
21,female,113813,bachelor,2,swimming,610,rural,244,180,fall,1,0,0
20,non-binary,106478,master,7,sunbathing,3145,rural,28,37,winter,0,0,0
24,non-binary,85453,doctorate,3,sunbathing,1989,urban,194,83,spring,1,1,0
35,male,37559,high school,5,hiking,1171,rural,23,161,fall,0,1,1
59,male,82149,doctorate,6,sunbathing,3386,rural,298,204,spring,0,1,0
24,non-binary,27144,high school,9,sunbathing,3542,suburban,230,214,summer,0,1,0
57,female,36818,master,5,sunbathing,4403,suburban,208,213,fall,0,0,0
23,non-binary,27778,master,5,swimming,3283,suburban,43,9,summer,1,1,0
39,non-binary,83607,master,5,sunbathing,3235,rural,6,35,spring,0,1,0
18,male,34589,master,1,sunbathing,2486,rural,152,192,summer,0,0,0
21,female,86523,doctorate,8,skiing,2634,suburban,178,212,spring,1,1,1
63,non-binary,59273,master,6,swimming,1295,urban,54,130,summer,0,1,0
66,female,42403,bachelor,1,swimming,4614,urban,251,193,summer,0,0,0
69,male,95641,master,0,swimming,3466,suburban,83,98,winter,0,0,0
67,non-binary,113437,master,5,swimming,2389,rural,239,71,spring,0,1,0
60,male,55776,high school,1,hiking,3938,rural,51,221,fall,0,1,1
46,non-binary,102205,bachelor,4,sunbathing,2081,rural,256,161,summer,1,1,0
38,female,56807,high school,9,hiking,1324,suburban,235,104,winter,1,1,0
43,male,87111,bachelor,5,skiing,1365,urban,274,288,fall,0,0,1
31,female,114763,doctorate,7,hiking,4857,suburban,17,75,summer,1,1,1
26,non-binary,33019,doctorate,3,sunbathing,1591,suburban,232,126,fall,1,0,0
64,male,65729,doctorate,2,hiking,2803,suburban,152,227,summer,1,0,1
29,female,88227,master,3,hiking,4147,urban,153,99,winter,1,0,0
59,female,115447,bachelor,9,skiing,1055,urban,24,216,fall,1,0,1
68,non-binary,21434,doctorate,6,skiing,2734,urban,237,286,fall,0,1,1
68,male,48969,bachelor,3,swimming,3568,suburban,160,266,summer,1,1,0
23,female,39594,doctorate,7,swimming,2668,urban,276,286,winter,1,0,0
37,male,31125,high school,2,sunbathing,544,suburban,129,179,summer,0,0,0
41,male,74889,doctorate,6,skiing,2844,urban,189,224,fall,1,1,1
44,male,107162,high school,5,skiing,4213,rural,260,55,spring,1,1,0
55,male,105297,master,0,swimming,1907,suburban,257,261,summer,0,0,0
25,non-binary,33970,high school,8,sunbathing,2934,suburban,16,27,summer,1,0,0
18,female,90688,bachelor,4,swimming,4129,rural,185,67,fall,0,1,0
66,male,55708,high school,4,sunbathing,4809,suburban,180,73,winter,0,0,0
66,female,96620,doctorate,2,hiking,4703,suburban,64,91,summer,1,1,1
41,female,77797,bachelor,7,swimming,866,urban,232,269,spring,0,0,0
64,female,97434,doctorate,5,skiing,4362,suburban,28,89,fall,1,0,1
24,non-binary,108658,high school,9,sunbathing,3911,rural,278,188,fall,0,0,0
36,male,35926,master,3,skiing,4707,rural,217,3,fall,1,1,0
39,male,39976,doctorate,9,skiing,1416,rural,109,162,fall,0,0,1
52,female,30429,master,1,hiking,3139,rural,111,21,spring,1,1,0
47,female,109405,bachelor,3,skiing,978,urban,19,180,spring,1,0,1
46,non-binary,77903,high school,0,swimming,2606,rural,159,176,winter,1,0,0
39,non-binary,83224,high school,0,hiking,4173,suburban,114,101,spring,1,1,0
28,female,45155,high school,7,swimming,1586,rural,68,232,winter,1,0,0
37,male,62394,doctorate,3,hiking,2634,suburban,197,179,fall,1,1,0
46,non-binary,72082,doctorate,8,skiing,2019,suburban,217,270,fall,1,1,1
68,male,101206,doctorate,5,hiking,538,suburban,279,269,spring,1,0,0
58,non-binary,104294,bachelor,9,sunbathing,2628,rural,91,261,summer,0,0,0
59,male,35795,master,3,sunbathing,690,rural,78,256,summer,0,0,0
51,female,57217,master,8,hiking,3269,rural,24,276,summer,0,0,1
18,non-binary,111126,high school,9,swimming,4060,suburban,136,4,spring,1,1,0
48,female,53463,doctorate,0,swimming,4381,rural,176,116,spring,1,1,0
47,non-binary,114729,bachelor,3,swimming,1646,rural,110,121,winter,1,1,0
65,female,31207,high school,6,hiking,4371,urban,122,103,winter,1,0,0
35,non-binary,65311,bachelor,2,hiking,2777,suburban,24,298,fall,1,0,1
34,non-binary,25164,bachelor,9,sunbathing,3914,suburban,177,53,winter,1,1,0
55,non-binary,52045,high school,5,swimming,4304,rural,74,107,winter,0,0,0
31,male,48390,doctorate,9,swimming,537,suburban,245,178,summer,1,1,0
40,male,40561,bachelor,3,skiing,3127,suburban,123,96,summer,0,1,0
42,non-binary,99999,high school,8,skiing,3753,urban,101,180,winter,0,0,1
32,female,53611,bachelor,9,swimming,3856,rural,105,239,spring,0,1,0
63,female,117469,master,3,swimming,3079,suburban,126,297,spring,1,0,0
39,non-binary,52323,bachelor,3,hiking,2366,rural,138,197,winter,0,0,1
20,male,102595,high school,9,skiing,3246,urban,49,143,winter,1,1,1
36,male,90594,high school,8,skiing,2701,rural,146,284,spring,0,0,1
61,male,100600,high school,1,swimming,4063,urban,189,88,winter,0,0,0
51,male,40597,doctorate,1,skiing,1597,urban,83,51,spring,0,0,0
52,female,83321,doctorate,3,sunbathing,2469,rural,152,187,winter,0,0,0
67,non-binary,34436,bachelor,1,skiing,2018,rural,129,256,spring,0,0,1
18,non-binary,55439,master,1,hiking,2654,suburban,84,59,spring,0,1,0
69,non-binary,86394,bachelor,5,hiking,1517,rural,65,166,fall,1,1,1
38,female,77755,bachelor,3,swimming,1955,urban,126,181,summer,1,1,0
46,male,95577,bachelor,9,swimming,2806,urban,72,175,summer,1,1,0
23,male,55282,master,2,skiing,4742,suburban,231,93,fall,1,1,0
54,female,76983,doctorate,3,skiing,531,urban,114,196,winter,1,1,1
18,female,80452,bachelor,6,skiing,1853,rural,143,163,winter,1,1,1
68,non-binary,64135,bachelor,6,sunbathing,635,suburban,22,44,spring,0,1,0
18,non-binary,105739,master,2,swimming,2507,urban,135,111,summer,0,0,0
44,female,48197,bachelor,8,skiing,852,urban,286,14,fall,0,1,0
38,female,84408,bachelor,9,hiking,3242,suburban,244,73,winter,1,1,0
33,female,94721,doctorate,1,sunbathing,2491,suburban,62,85,summer,0,0,0
61,male,114222,bachelor,1,swimming,4116,suburban,188,290,fall,1,0,0
57,non-binary,29359,high school,2,swimming,4970,rural,12,4,summer,0,0,0
43,female,45398,master,5,sunbathing,1159,suburban,11,13,spring,1,1,0
33,female,89881,high school,5,sunbathing,4927,urban,103,203,fall,0,0,0
45,male,85923,master,6,hiking,1856,urban,279,287,spring,0,0,1
18,female,108345,bachelor,6,swimming,4573,urban,86,113,winter,0,1,0
53,non-binary,30990,master,0,skiing,3793,suburban,247,256,summer,0,0,1
27,male,88902,bachelor,6,sunbathing,1557,urban,26,206,spring,1,0,0
60,female,74712,doctorate,0,swimming,1555,urban,255,256,fall,0,1,0
34,non-binary,50590,high school,2,skiing,1946,suburban,159,5,fall,1,0,0
40,non-binary,51103,bachelor,3,skiing,3420,rural,235,90,fall,0,0,0
24,male,68601,doctorate,5,swimming,4503,suburban,213,25,spring,1,1,0
61,non-binary,65999,bachelor,3,skiing,4780,urban,139,116,spring,0,1,0
24,male,105680,high school,3,swimming,3104,urban,186,31,winter,0,1,0
61,non-binary,78405,master,5,skiing,3040,rural,158,182,spring,1,0,1
32,female,116867,high school,3,skiing,729,rural,75,16,fall,1,1,0
51,male,45661,doctorate,5,hiking,3848,suburban,156,122,spring,1,1,0
63,non-binary,98396,master,9,sunbathing,3868,urban,67,248,winter,0,1,0
62,male,67221,master,2,hiking,1857,rural,154,43,fall,0,1,0
21,non-binary,102400,bachelor,7,skiing,2605,rural,62,234,summer,1,0,1
31,male,61991,high school,5,skiing,3445,rural,87,184,fall,0,1,1
31,female,114499,doctorate,8,hiking,2174,rural,42,14,winter,1,0,0
33,male,97356,master,1,swimming,2166,rural,64,1,summer,0,1,0
24,male,118097,high school,4,hiking,3337,rural,87,25,summer,0,0,0
49,female,118835,high school,9,hiking,3939,rural,293,106,summer,1,0,0
36,non-binary,97758,high school,8,swimming,804,suburban,8,250,spring,0,0,0
19,female,91862,high school,5,sunbathing,3023,urban,63,248,winter,0,0,0
27,male,25025,bachelor,5,skiing,4726,urban,7,162,summer,1,1,1
67,female,83077,bachelor,6,swimming,3732,urban,213,120,winter,1,0,0
34,female,51067,doctorate,6,swimming,2713,rural,151,125,spring,0,1,0
54,male,51007,doctorate,4,hiking,2521,rural,253,270,winter,0,1,1
29,male,29928,doctorate,7,sunbathing,1239,suburban,62,13,fall,0,0,0
23,female,92746,bachelor,5,swimming,3093,suburban,15,131,winter,1,0,0
39,male,101292,master,3,sunbathing,1726,urban,82,176,fall,0,0,0
49,non-binary,104993,high school,0,sunbathing,4340,urban,168,17,fall,0,0,0
58,non-binary,117212,bachelor,0,sunbathing,2642,urban,19,46,fall,0,0,0
37,non-binary,29427,bachelor,5,skiing,4594,urban,258,162,fall,0,1,0
18,non-binary,114093,bachelor,4,skiing,1154,suburban,251,107,summer,1,1,0
64,female,116937,doctorate,2,swimming,3459,rural,26,10,fall,0,0,0
23,female,40622,doctorate,5,hiking,674,rural,295,246,summer,1,0,0
36,female,56985,doctorate,7,hiking,4066,suburban,177,166,winter,0,0,0
35,male,69876,master,4,hiking,4472,urban,166,93,summer,0,0,0
23,female,37847,high school,3,sunbathing,4106,rural,85,110,summer,0,0,0
62,female,41364,high school,7,swimming,1984,rural,203,133,fall,0,0,0
50,male,68383,bachelor,3,swimming,4584,suburban,71,236,fall,1,0,0
40,male,38681,high school,7,skiing,955,urban,132,249,fall,1,1,1
40,male,33928,master,5,hiking,2278,urban,5,145,winter,0,1,1
43,non-binary,104793,bachelor,9,skiing,2454,rural,185,288,winter,0,0,1
30,female,39685,high school,4,skiing,4734,urban,150,188,summer,0,0,1
24,female,32756,doctorate,0,skiing,1763,suburban,174,149,winter,1,1,0
32,female,112002,master,1,hiking,4837,suburban,82,147,spring,1,0,1
61,male,90096,doctorate,6,hiking,2815,urban,34,72,winter,1,0,1
44,female,46361,bachelor,1,sunbathing,2951,rural,263,40,spring,0,0,0
43,non-binary,45661,doctorate,9,sunbathing,2344,suburban,45,215,winter,0,0,0
50,female,117018,doctorate,2,sunbathing,4527,urban,93,82,fall,0,1,0
32,female,87715,high school,6,hiking,4518,urban,268,103,summer,0,0,0
53,male,37485,master,2,skiing,2029,rural,184,95,fall,0,1,0
62,non-binary,106887,high school,8,swimming,788,rural,28,131,spring,0,0,0
44,female,36223,master,8,skiing,2532,urban,237,27,summer,1,0,0
22,male,52721,bachelor,6,swimming,605,urban,283,218,winter,1,0,0
19,non-binary,81306,bachelor,4,hiking,2342,rural,296,266,spring,0,1,0
50,non-binary,58305,high school,1,hiking,3778,urban,127,222,spring,1,1,1
33,male,107839,doctorate,4,sunbathing,3027,urban,70,287,winter,0,0,0
40,male,117101,bachelor,4,skiing,2441,urban,46,156,spring,1,1,1
55,male,119299,master,1,sunbathing,1376,suburban,76,45,fall,0,0,0
33,male,94913,master,8,swimming,4925,suburban,116,178,winter,1,0,0
31,male,103751,doctorate,4,hiking,1309,rural,249,247,winter,1,0,0
46,male,92226,bachelor,8,sunbathing,1084,urban,33,186,fall,1,1,0
43,female,36910,doctorate,7,sunbathing,4864,suburban,186,174,fall,1,0,0
52,male,63826,bachelor,8,skiing,3382,urban,263,144,summer,0,0,0
32,male,34811,master,5,sunbathing,844,rural,123,114,fall,1,0,0
20,non-binary,68932,master,7,skiing,1922,rural,47,29,summer,1,0,0
40,non-binary,76306,master,2,sunbathing,1404,urban,270,285,winter,1,1,0
46,non-binary,25157,doctorate,2,swimming,1386,rural,91,203,fall,1,0,0
51,male,62644,high school,9,hiking,1153,rural,243,215,spring,0,1,0
50,male,86775,high school,8,skiing,3620,rural,244,209,summer,1,1,0
58,female,30249,high school,0,sunbathing,818,suburban,155,92,winter,0,1,0
58,female,85635,master,4,skiing,4670,suburban,94,42,winter,1,0,0
40,female,74709,bachelor,2,sunbathing,4037,suburban,215,178,spring,0,1,0
24,female,95689,doctorate,4,sunbathing,502,rural,68,213,summer,1,1,0
20,male,93828,master,4,sunbathing,4447,suburban,99,113,fall,0,1,0
49,non-binary,76682,high school,5,swimming,3396,suburban,195,195,winter,0,0,0
48,male,92983,high school,7,sunbathing,2164,urban,32,133,summer,0,1,0
35,male,23075,bachelor,0,skiing,4490,rural,290,210,spring,1,1,0
60,male,110027,doctorate,7,swimming,2554,suburban,112,211,spring,0,1,0
24,male,89782,master,4,swimming,713,urban,205,167,summer,1,1,0
58,non-binary,38473,high school,7,skiing,1719,suburban,152,182,spring,0,1,1
18,non-binary,81397,master,1,sunbathing,3505,rural,274,260,summer,0,0,0
31,female,76695,doctorate,4,skiing,3586,rural,167,285,summer,0,1,1
69,male,85371,bachelor,4,skiing,2747,rural,1,210,spring,1,1,1
49,female,72852,bachelor,1,sunbathing,954,rural,111,157,summer,1,1,0
23,non-binary,26162,bachelor,6,sunbathing,3987,suburban,33,102,winter,1,0,0
56,non-binary,25531,master,0,swimming,3946,urban,99,26,winter,1,0,0
27,female,23607,master,6,skiing,4102,suburban,103,100,summer,1,0,0
24,non-binary,36346,bachelor,9,swimming,4967,rural,110,55,summer,1,1,0
43,non-binary,97035,master,2,sunbathing,2041,urban,287,145,summer,1,0,0
51,male,36129,bachelor,2,skiing,3432,rural,162,87,winter,0,1,0
47,male,67608,doctorate,4,sunbathing,3624,suburban,225,45,summer,0,0,0
53,non-binary,89755,master,8,hiking,1571,rural,243,13,spring,0,0,0
38,non-binary,86954,master,2,swimming,2047,urban,239,165,summer,1,0,0
34,female,27858,bachelor,3,swimming,4364,urban,252,218,summer,1,1,0
50,female,30910,bachelor,7,hiking,1988,rural,295,163,summer,1,1,0
27,non-binary,57783,bachelor,5,swimming,834,suburban,273,207,winter,1,1,0
68,male,24625,master,5,swimming,2096,urban,145,53,winter,1,0,0
64,male,28377,bachelor,6,hiking,1085,suburban,138,235,winter,0,1,1
59,female,114710,high school,6,swimming,2021,urban,243,131,fall,1,0,0
68,male,112944,master,5,sunbathing,2439,suburban,226,69,winter,1,0,0
29,male,99890,master,8,skiing,802,suburban,50,104,spring,1,1,1
33,female,31275,bachelor,2,hiking,4128,rural,98,85,spring,0,1,0
58,female,80753,master,9,sunbathing,4637,suburban,69,106,spring,1,1,0
49,male,83371,master,5,skiing,2690,rural,162,42,winter,1,1,0
32,female,112139,master,1,swimming,3698,urban,197,150,spring,1,0,0
44,non-binary,75601,high school,8,swimming,3689,rural,295,260,fall,0,1,0
45,female,43529,high school,8,sunbathing,4735,suburban,282,36,spring,1,1,0
34,non-binary,115169,bachelor,3,swimming,4155,rural,258,265,summer,1,1,0
63,non-binary,55333,master,8,swimming,867,rural,255,209,spring,0,0,0
67,non-binary,85408,high school,6,swimming,2497,suburban,199,44,summer,0,0,0
19,female,52729,doctorate,7,sunbathing,3485,suburban,187,198,spring,0,1,0
53,female,58278,bachelor,2,skiing,1628,urban,118,280,summer,0,0,1
67,female,110463,bachelor,4,hiking,2396,suburban,25,251,spring,1,1,1
24,non-binary,59222,doctorate,3,hiking,1949,suburban,124,74,summer,0,1,0
30,female,92160,bachelor,5,swimming,2236,urban,101,206,fall,1,0,0
32,male,30185,doctorate,2,skiing,2140,urban,125,286,fall,0,1,1
42,male,115084,doctorate,2,sunbathing,3808,urban,36,110,spring,0,0,0
40,female,80264,master,0,hiking,821,rural,117,24,winter,1,1,0
39,non-binary,63534,bachelor,9,sunbathing,2736,suburban,239,254,summer,0,1,0
43,female,104830,doctorate,2,swimming,1647,rural,126,128,spring,1,1,0
50,male,72631,master,4,skiing,2302,rural,221,193,fall,1,0,0
28,non-binary,98108,bachelor,3,hiking,1457,suburban,123,143,summer,1,1,1
27,female,59110,bachelor,3,sunbathing,1779,suburban,229,177,fall,1,1,0
42,female,58689,master,9,hiking,1792,rural,146,97,winter,0,1,0
54,non-binary,84973,master,9,hiking,3185,urban,274,263,fall,1,0,0
65,non-binary,103411,high school,6,hiking,2337,rural,113,34,winter,1,0,0
60,male,49220,doctorate,6,hiking,3954,urban,78,261,winter,0,0,1
55,female,79071,bachelor,9,skiing,1956,rural,161,84,fall,1,0,0
58,male,22142,master,4,swimming,787,suburban,210,226,fall,0,0,0
62,male,40882,bachelor,5,sunbathing,2193,rural,177,185,winter,1,0,0
41,non-binary,36278,doctorate,0,skiing,4357,urban,224,47,fall,0,1,0
57,female,99942,bachelor,5,hiking,2149,rural,91,108,spring,1,0,1
63,male,119062,high school,0,skiing,4626,suburban,57,176,summer,0,1,1
50,male,43516,doctorate,9,skiing,4267,rural,183,284,spring,0,0,1
34,non-binary,86102,doctorate,8,swimming,2326,suburban,122,35,summer,0,0,0
41,female,27116,high school,5,swimming,631,urban,153,195,summer,0,1,0
54,female,33094,doctorate,7,skiing,2686,suburban,142,222,fall,0,1,1
19,male,68408,bachelor,1,swimming,2490,urban,181,178,spring,1,0,0
49,non-binary,91939,master,5,swimming,1423,urban,109,235,summer,0,0,0
41,female,35575,doctorate,7,swimming,4686,urban,71,296,fall,0,1,0
26,female,83722,bachelor,3,swimming,812,suburban,181,29,fall,0,0,0
21,male,69473,bachelor,4,sunbathing,3856,rural,36,183,fall,0,0,0
34,female,87981,master,4,skiing,1938,rural,298,30,winter,0,0,0
34,female,86225,bachelor,9,hiking,3403,suburban,156,247,fall,1,0,1
67,female,109866,doctorate,1,sunbathing,3776,urban,31,120,fall,0,0,0
65,female,80662,doctorate,6,sunbathing,2960,urban,18,32,summer,0,1,0
47,male,64965,doctorate,9,skiing,2808,suburban,100,47,spring,0,1,0
57,female,24315,master,4,skiing,4775,urban,161,90,spring,0,1,0
28,female,37888,master,0,hiking,1035,suburban,169,272,winter,0,1,1
38,non-binary,94469,master,2,skiing,1891,suburban,167,217,spring,0,0,1
38,male,62227,master,8,skiing,3685,suburban,82,186,winter,0,0,1
35,female,61400,high school,9,hiking,4723,rural,18,202,winter,0,1,1
46,non-binary,112877,master,5,hiking,1290,rural,229,262,fall,0,0,1
41,male,93381,master,0,hiking,1717,rural,108,199,summer,0,0,1
27,female,54056,bachelor,7,sunbathing,4966,rural,57,9,winter,1,0,0
62,non-binary,70942,master,8,swimming,1815,rural,162,0,fall,0,0,0
34,male,98679,high school,5,hiking,4113,suburban,172,187,spring,0,1,1
35,female,119268,bachelor,4,hiking,1575,rural,99,218,fall,1,0,1
59,non-binary,110537,high school,5,hiking,3938,urban,192,111,summer,1,1,0
65,male,119131,bachelor,4,swimming,1950,suburban,178,5,spring,1,1,0
37,non-binary,88006,high school,1,sunbathing,1326,suburban,228,238,fall,1,0,0
54,non-binary,99706,bachelor,7,swimming,4540,rural,287,101,spring,0,1,0
62,female,38887,bachelor,1,sunbathing,4568,suburban,83,73,summer,1,1,0
35,non-binary,42452,master,3,sunbathing,4753,rural,264,75,spring,1,1,0
34,female,40093,doctorate,6,hiking,3162,rural,53,255,summer,0,0,1
26,female,75943,high school,4,hiking,4036,rural,129,80,summer,1,1,0
31,non-binary,40585,master,6,swimming,726,urban,26,271,spring,1,0,0
66,non-binary,50312,bachelor,4,skiing,3706,urban,191,261,winter,1,0,1
46,non-binary,114356,master,3,sunbathing,4979,urban,187,75,spring,0,0,0
48,non-binary,33999,master,9,sunbathing,1285,rural,86,131,summer,0,0,0
21,male,83565,high school,8,hiking,4948,suburban,171,88,winter,1,1,0
35,female,106912,master,8,skiing,3299,suburban,4,169,fall,1,0,1
37,non-binary,80214,high school,9,hiking,3901,suburban,119,185,spring,1,0,1
64,male,82750,doctorate,6,hiking,1103,rural,259,36,fall,1,1,0
60,non-binary,25967,master,9,sunbathing,4439,suburban,155,119,spring,0,0,0
61,male,74246,bachelor,1,skiing,1740,urban,139,48,spring,0,0,0
26,female,118394,master,0,swimming,3448,urban,137,86,summer,0,1,0
30,non-binary,77738,master,4,hiking,4539,urban,46,168,fall,0,0,1
32,male,59233,bachelor,2,skiing,3114,urban,194,135,winter,0,0,0
44,male,24539,master,6,sunbathing,4769,suburban,164,219,winter,1,0,0
32,female,90833,master,1,hiking,2017,rural,283,224,summer,1,1,0
45,non-binary,115547,bachelor,8,skiing,3799,rural,298,203,summer,1,0,0
54,non-binary,105821,master,6,skiing,565,urban,294,105,winter,1,0,0
36,female,107718,doctorate,9,sunbathing,1947,rural,207,30,summer,0,0,0
43,female,70050,doctorate,2,hiking,1426,urban,190,97,fall,0,1,0
69,female,101775,master,8,hiking,3370,rural,211,158,summer,0,0,0
43,male,94681,bachelor,2,swimming,2052,rural,180,74,spring,1,0,0
42,male,88675,bachelor,6,skiing,4600,rural,81,58,fall,0,1,0
43,female,92221,doctorate,8,skiing,2443,rural,252,205,winter,0,0,0
43,non-binary,94818,bachelor,4,swimming,717,rural,37,101,spring,1,0,0
63,male,113763,bachelor,1,sunbathing,3523,rural,35,31,spring,1,1,0
45,female,52953,bachelor,3,sunbathing,969,rural,113,239,winter,0,0,0
66,male,99948,master,2,sunbathing,3669,urban,268,191,spring,0,0,0
35,male,38957,high school,0,sunbathing,4041,suburban,73,116,fall,1,0,0
49,female,61097,doctorate,3,sunbathing,2703,suburban,21,255,summer,1,0,0
20,non-binary,111597,bachelor,0,sunbathing,1541,rural,121,117,winter,1,1,0
19,non-binary,68917,master,0,hiking,2360,urban,77,181,fall,0,0,1
50,male,61662,bachelor,3,swimming,1625,suburban,118,61,spring,1,1,0
59,non-binary,61133,doctorate,6,sunbathing,1692,rural,48,217,summer,1,0,0
36,non-binary,94020,high school,4,swimming,1942,rural,258,263,spring,0,1,0
34,female,20788,bachelor,7,swimming,1697,suburban,86,206,spring,1,0,0
61,female,64418,doctorate,6,hiking,2271,rural,149,146,fall,1,1,0
50,female,62386,doctorate,6,swimming,2236,urban,216,277,summer,0,1,0
29,non-binary,83263,doctorate,1,swimming,4747,suburban,83,126,summer,0,1,0
66,non-binary,118510,bachelor,3,skiing,4321,urban,222,184,spring,0,0,0
20,female,83464,doctorate,6,swimming,710,suburban,248,141,summer,0,0,0
60,non-binary,71453,high school,2,hiking,1676,urban,211,126,spring,1,1,0
66,female,96567,master,2,swimming,1578,suburban,285,281,spring,1,0,0
